Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000003808	1.1652744345127715	1518	high zero count	0.1318509510987579
ENSDARG00000003811	0.6383083325603183	14	other	0.001216016676800139
ENSDARG00000003818	1.0539515702017412	120	other	0.010423000086858335
ENSDARG00000003820	0.7563975261688589	1275	high zero count	0.1107443759228698
ENSDARG00000003827	-0.06428868020337104	224	other	0.019456266828802225
ENSDARG00000003829	0.8353628894507621	17	other	0.0014765916789715972
ENSDARG00000003835	1.2488175390343337	10	other	8.685833405715278e-4
ENSDARG00000003841	0.21557455749947915	503	other	0.04368974203074785
ENSDARG00000003845	0.5533621656978455	636	other	0.05524190046034917
ENSDARG00000003846	0.8552932885183415	193	other	0.016763658473030487
ENSDARG00000003854	0.7236213786950046	2	other	1.7371666811430558e-4
ENSDARG00000003860	1.7038902422841393	14	other	0.001216016676800139
ENSDARG00000003866	2.0219552950642035	9	other	7.81725006514375e-4
ENSDARG00000003869	0.5244518553688036	364	other	0.03161643359680361
ENSDARG00000003872	0.2646534458865778	690	other	0.05993225049943542
ENSDARG00000003902	0.18255240880820622	3406	high zero count	0.29583948579866237
ENSDARG00000003904	-0.0697410732649195	1622	high zero count	0.14088421784070182
ENSDARG00000003910	0.5303188919516679	56	other	0.004864066707200556
ENSDARG00000003920	2.6239373603974303	2	other	1.7371666811430558e-4
ENSDARG00000003927	0.7232476155698934	74	other	0.006427516720229306
ENSDARG00000003931	0.8266040461825693	283	other	0.024580908538174236
ENSDARG00000003934	-0.11733371686478486	1655	high zero count	0.14375054286458785
ENSDARG00000003938	1.3862974349508976	23	other	0.001997741683314514
ENSDARG00000003940	0.2690019049905899	82	other	0.007122383392686529
ENSDARG00000003941	0.712039541449782	47	other	0.004082341700686181
ENSDARG00000003952	2.9650587681031992	1	other	8.685833405715279e-5
ENSDARG00000003961	0.4295740547234936	2308	high zero count	0.2004690350039086
ENSDARG00000003963	0.36197145158222854	112	other	0.009728133414401112
ENSDARG00000003971	0.13602553736735382	1231	high zero count	0.10692260922435508
ENSDARG00000003973	0.11744683051054448	1304	high zero count	0.11326326761052723
ENSDARG00000003974	0.28169809002678703	107	other	0.009293841744115348
ENSDARG00000003977	0.005664166412062988	1633	high zero count	0.1418396595153305
ENSDARG00000003984	0.182831709435146	29	other	0.0025188916876574307
ENSDARG00000003989	0.08678504404120585	367	other	0.03187700859897507
ENSDARG00000003991	0.3582591140056128	838	other	0.07278728393989403
ENSDARG00000003994	0.0964966088167808	829	other	0.07200555893337966
